Rackets,Rank,Name,ID,Prev,Points
"4 Black","1","Gränicher
Benjamin","627","1","7’582.1"
"4 Black","2","Casanova-Lorenz
Patrick","1087","2","6’436.7"
"4 Black","3","Junillon
Cédric","222","3","6’030.9"
"4 Black","4","Schäfer
Christian","381","4","5’581.5"
"4 Black","5","Andrey
Yannic","857","5","5’301.6"
"4 Black","6","Strässle
Michael","821","6","5’053.6"
"4 Black","7","Bühler
Oliver","1107","7","4’993.6"
"4 Black","8","Ekstrand
Magnus","97","8","4’920.8"
"4 Black","9","Hobi
Nico","194","9","4’561.9"
"4 Black","10","Lenggenhager
Nicolas","1175","10","4’503.5"
"3 Black","11","Häfliger
Philipp","165","11","3’983.0"
"3 Black","12","Bandi
André","18","12","3’962.7"
"3 Black","13","Näscher
Claude","324","13","3’878.9"
"3 Black","14","Schärrer
Niki","383","14","3’820.9"
"3 Black","15","Meister
Julien","1307","15","3’820.1"
"3 Black","16","Paglia
Raphael","341","16","3’808.3"
"3 Black","17","Hohl
Cyril","1678","17","3’654.0"
"3 Black","18","Langhart
Roli","854","18","3’526.1"
"3 Black","19","Mamié
Noah","1358","19","3’469.2"
"3 Black","20","Bühler
Steven","1320","20","3’408.0"
"3 Black","21","Wegmann
Thomas","494","21","3’150.7"
"3 Black","22","Honegger
Marco","1858","22","3’000.9"
"3 Black","23","Kälin
Erich","224","23","2’920.1"
"3 Black","24","Schmid
Roland","781","24","2’792.8"
"3 Black","25","Fässler
Marcel","107","25","2’747.8"
"3 Black","26","Nicolet
Vincent","1738","26","2’724.9"
"3 Black","27","Honegger
Simon","711","27","2’706.7"
"3 Black","28","Abrami
Martin","1672","28","2’704.6"
"3 Black","29","Mamié
Léon","1546","29","2’675.6"
"3 Black","30","Spring
Lukas","426","30","2’666.3"
"2 Black","31","Burnand
Julien","1724","31","2’540.0"
"2 Black","32","Galan
Aymeric","1804","32","2’519.7"
"2 Black","33","Ladner
Beat","252","33","2’502.5"
"2 Black","34","König
Dominic","577","34","2’454.9"
"2 Black","35","Peter
Philipp","1279","35","2’339.8"
"2 Black","36","Meierhans
Sascha","746","36","2’322.1"
"2 Black","37","Graf
Arno","145","37","2’313.7"
"2 Black","38","Batinic
Danijel","569","38","2’300.3"
"2 Black","39","Imhof
Stefan","807","39","2’201.7"
"2 Black","40","Lori
Marco","876","40","2’165.5"
"2 Black","41","Ladner
Leonard","520","41","2’154.8"
"2 Black","42","Bernhard
Denis","658","42","2’031.1"
"2 Black","43","Dätwyler
Philipp","953","44","1’780.5"
"2 Black","44","Champod
Nicolas","2200","45","1’677.1"
"2 Black","45","Kolp
Michael","542","46","1’645.3"
"2 Black","46","Grab
Manfred","637","47","1’597.7"
"2 Black","47","Schmid
Jörg","1346","48","1’593.3"
"2 Black","48","Faschauner
Stefan","1711","49","1’592.2"
