Rackets,Rank,Name,ID,Prev,Points
"4 Black","1","Gränicher
Benjamin","627","1","7’780.0"
"4 Black","2","Casanova-Lorenz
Patrick","1087","2","6’436.7"
"4 Black","3","Junillon
Cédric","222","3","5’850.6"
"4 Black","4","Schäfer
Christian","381","4","5’482.7"
"4 Black","5","Andrey
Yannic","857","5","5’343.5"
"4 Black","6","Strässle
Michael","821","6","5’053.6"
"4 Black","7","Ekstrand
Magnus","97","7","4’920.4"
"4 Black","8","Lenggenhager
Nicolas","1175","8","4’623.3"
"4 Black","9","Hobi
Nico","194","9","4’424.6"
"4 Black","10","Bühler
Oliver","1107","10","4’417.3"
"3 Black","11","Häfliger
Philipp","165","11","4’154.2"
"3 Black","12","Langhart
Roli","854","12","3’928.3"
"3 Black","13","Bandi
André","18","13","3’851.4"
"3 Black","14","Schärrer
Niki","383","14","3’820.9"
"3 Black","15","Paglia
Raphael","341","15","3’721.7"
"3 Black","16","Meister
Julien","1307","16","3’699.9"
"3 Black","17","Bühler
Steven","1320","17","3’682.8"
"3 Black","18","Hohl
Cyril","1678","18","3’654.0"
"3 Black","19","Mamié
Noah","1358","19","3’574.8"
"3 Black","20","Näscher
Claude","324","20","3’527.2"
"3 Black","21","Abrami
Martin","1672","21","3’170.5"
"3 Black","22","Wegmann
Thomas","494","22","3’140.2"
"3 Black","23","Nicolet
Vincent","1738","23","2’976.2"
"3 Black","24","Fässler
Marcel","107","24","2’897.6"
"3 Black","25","Honegger
Marco","1858","25","2’868.4"
"3 Black","26","Kälin
Erich","224","26","2’860.6"
"3 Black","27","Schmid
Roland","781","27","2’792.8"
"3 Black","28","Honegger
Simon","711","28","2’734.1"
"3 Black","29","Mamié
Léon","1546","29","2’696.6"
"3 Black","30","Galan
Aymeric","1804","30","2’519.7"
"2 Black","31","Burnand
Julien","1724","31","2’519.6"
"2 Black","32","Ladner
Beat","252","32","2’497.3"
"2 Black","33","König
Dominic","577","33","2’454.9"
"2 Black","34","Spring
Lukas","426","34","2’426.3"
"2 Black","35","Graf
Arno","145","35","2’313.7"
"2 Black","36","Peter
Philipp","1279","36","2’304.2"
"2 Black","37","Imhof
Stefan","807","37","2’278.6"
"2 Black","38","Grab
Manfred","637","38","2’218.7"
"2 Black","39","Batinic
Danijel","569","39","2’203.3"
"2 Black","40","Meierhans
Sascha","746","40","2’185.2"
"2 Black","41","Lori
Marco","876","41","2’165.5"
"2 Black","42","Ladner
Leonard","520","42","2’154.8"
"2 Black","43","Bernhard
Denis","658","43","2’031.1"
"2 Black","44","Magnin
Yannick","1700","45","1’865.6"
"2 Black","45","Champod
Nicolas","2200","46","1’677.1"
"2 Black","46","Kolp
Michael","542","47","1’667.1"
"2 Black","47","Scherrer
Bruno","1951","48","1’664.8"
"2 Black","48","Bieler
André","1598","49","1’654.4"
