Rackets,Rank,Name,ID,Prev,Points
"4 Black","1","Gränicher
Benjamin","627","1","8’340.9"
"4 Black","2","Casanova-Lorenz
Patrick","1087","2","7’204.6"
"4 Black","3","Schäfer
Christian","381","3","7’002.2"
"4 Black","4","Bühler
Oliver","1107","4","5’621.9"
"4 Black","5","Hobi
Nico","194","5","5’277.7"
"4 Black","6","Strässle
Michael","821","6","5’053.6"
"4 Black","7","Andrey
Yannic","857","7","5’040.2"
"4 Black","8","Lenggenhager
Nicolas","1175","8","4’968.7"
"4 Black","9","Paglia
Raphael","341","9","4’603.8"
"4 Black","10","Bandi
André","18","10","4’442.4"
"3 Black","11","Junillon
Cédric","222","11","4’146.9"
"3 Black","12","Näscher
Claude","324","12","3’994.0"
"3 Black","13","Ekstrand
Magnus","97","13","3’694.3"
"3 Black","14","Meister
Julien","1307","14","3’502.6"
"3 Black","15","Kälin
Erich","224","15","3’340.3"
"3 Black","16","Schmid
Roland","781","16","3’260.0"
"3 Black","17","Hohl
Cyril","1678","17","3’148.7"
"3 Black","18","Wegmann
Thomas","494","18","3’121.3"
"3 Black","19","Nicolet
Vincent","1738","19","3’042.3"
"3 Black","20","Honegger
Marco","1858","20","3’019.5"
"3 Black","21","Mamié
Noah","1358","21","2’994.7"
"3 Black","22","Honegger
Simon","711","22","2’960.3"
"3 Black","23","Häfliger
Philipp","165","23","2’958.8"
"3 Black","24","Bühler
Steven","1320","24","2’945.2"
"3 Black","25","Mamié
Léon","1546","25","2’865.3"
"3 Black","26","Peter
Philipp","1279","26","2’847.9"
"3 Black","27","Spring
Lukas","426","27","2’751.8"
"3 Black","28","Burnand
Julien","1724","28","2’583.5"
"3 Black","29","Imhof
Stefan","807","29","2’582.6"
"3 Black","30","Langhart
Roli","854","30","2’573.2"
"2 Black","31","Graf
Arno","145","31","2’462.9"
"2 Black","32","Ladner
Beat","252","32","2’375.0"
"2 Black","33","Batinic
Danijel","569","33","2’310.2"
"2 Black","34","Meierhans
Sascha","746","34","2’274.9"
"2 Black","35","Fässler
Marcel","107","35","2’229.7"
"2 Black","36","Ladner
Leonard","520","36","2’180.3"
"2 Black","37","Lori
Marco","876","37","2’165.5"
"2 Black","38","Waldis
Adrian","489","38","2’057.2"
"2 Black","39","König
Dominic","577","39","2’040.4"
"2 Black","40","Guerra
Batiste","2027","40","1’960.8"
"2 Black","41","Schmid
Jörg","1346","41","1’910.2"
"2 Black","42","Schärrer
Niki","383","42","1’809.4"
"2 Black","43","Faschauner
Stefan","1711","43","1’739.0"
"2 Black","44","Lironi
Yann","1603","45","1’700.6"
"2 Black","45","Furter
Markus","679","46","1’662.9"
"2 Black","46","Bieler
André","1598","47","1’651.6"
"2 Black","47","Kaufmann
Andreas","1688","48","1’632.7"
"2 Black","48","Galan
Aymeric","1804","49","1’625.4"
