Rackets,Rank,Name,ID,Prev,Points
"4 Black","1","Gränicher
Benjamin","627","1","7’653.1"
"4 Black","2","Junillon
Cédric","222","2","6’045.3"
"4 Black","3","Casanova-Lorenz
Patrick","1087","3","5’993.9"
"4 Black","4","Schäfer
Christian","381","4","5’661.3"
"4 Black","5","Andrey
Yannic","857","5","5’198.1"
"4 Black","6","Lenggenhager
Nicolas","1175","6","4’902.9"
"4 Black","7","Ekstrand
Magnus","97","7","4’858.9"
"4 Black","8","Strässle
Michael","821","8","4’732.0"
"4 Black","9","Hobi
Nico","194","9","4’424.6"
"4 Black","10","Schärrer
Niki","383","10","4’417.3"
"3 Black","11","Bühler
Oliver","1107","11","4’386.6"
"3 Black","12","Häfliger
Philipp","165","12","4’324.1"
"3 Black","13","Bandi
André","18","13","4’170.5"
"3 Black","14","Langhart
Roli","854","14","4’094.1"
"3 Black","15","Mamié
Noah","1358","15","3’745.3"
"3 Black","16","Bühler
Steven","1320","16","3’682.8"
"3 Black","17","Paglia
Raphael","341","17","3’639.7"
"3 Black","18","Meister
Julien","1307","18","3’532.7"
"3 Black","19","Hohl
Cyril","1678","19","3’493.7"
"3 Black","20","Wegmann
Thomas","494","20","3’163.4"
"3 Black","21","Fässler
Marcel","107","21","3’138.4"
"3 Black","22","Abrami
Martin","1672","22","3’065.4"
"3 Black","23","Nicolet
Vincent","1738","23","2’945.8"
"3 Black","24","Näscher
Claude","324","24","2’896.5"
"3 Black","25","Honegger
Marco","1858","25","2’863.6"
"3 Black","26","Honegger
Simon","711","26","2’813.6"
"3 Black","27","Kälin
Erich","224","27","2’781.3"
"3 Black","28","Schmid
Roland","781","28","2’717.0"
"3 Black","29","Mamié
Léon","1546","29","2’633.5"
"3 Black","30","Ladner
Beat","252","30","2’588.1"
"2 Black","31","Galan
Aymeric","1804","31","2’548.1"
"2 Black","32","Peter
Philipp","1279","32","2’378.7"
"2 Black","33","Batinic
Danijel","569","33","2’260.1"
"2 Black","34","Graf
Arno","145","34","2’239.5"
"2 Black","35","Grab
Manfred","637","35","2’199.8"
"2 Black","36","Spring
Lukas","426","36","2’169.2"
"2 Black","37","König
Dominic","577","37","2’140.9"
"2 Black","38","Ladner
Leonard","520","38","2’095.6"
"2 Black","39","Meierhans
Sascha","746","40","2’040.1"
"2 Black","40","Bernhard
Denis","658","41","2’031.1"
"2 Black","41","Magnin
Yannick","1700","42","2’026.1"
"2 Black","42","Imhof
Stefan","807","43","2’006.4"
"2 Black","43","Burnand
Julien","1724","44","2’000.0"
"2 Black","44","Lori
Marco","876","45","1’878.3"
"2 Black","45","Kaufmann
Andreas","1688","46","1’798.8"
"2 Black","46","Scherrer
Bruno","1951","47","1’728.0"
"2 Black","47","Champod
Nicolas","2200","48","1’677.1"
"2 Black","48","Gentile
Giovanni","1935","49","1’633.6"
