Rackets,Rank,Name,ID,Prev,Points
"4 Black","1","Gränicher
Benjamin","627","1","8’361.6"
"4 Black","2","Casanova-Lorenz
Patrick","1087","2","6’770.4"
"4 Black","3","Schäfer
Christian","381","3","6’595.5"
"4 Black","4","Lenggenhager
Nicolas","1175","4","5’719.7"
"4 Black","5","Strässle
Michael","821","5","5’628.7"
"4 Black","6","Bühler
Oliver","1107","6","5’443.3"
"4 Black","7","Hobi
Nico","194","7","5’277.7"
"4 Black","8","Paglia
Raphael","341","8","4’705.9"
"4 Black","9","Bandi
André","18","9","4’663.5"
"4 Black","10","Andrey
Yannic","857","10","4’572.9"
"3 Black","11","Junillon
Cédric","222","11","4’332.1"
"3 Black","12","Ekstrand
Magnus","97","12","4’020.0"
"3 Black","13","Näscher
Claude","324","13","3’579.6"
"3 Black","14","Meister
Julien","1307","14","3’439.5"
"3 Black","15","Bühler
Steven","1320","15","3’407.1"
"3 Black","16","Nicolet
Vincent","1738","16","3’332.1"
"3 Black","17","Hohl
Cyril","1678","17","3’323.4"
"3 Black","18","Kälin
Erich","224","18","3’277.8"
"3 Black","19","Schmid
Roland","781","19","3’260.0"
"3 Black","20","Häfliger
Philipp","165","20","3’179.3"
"3 Black","21","Langhart
Roli","854","21","2’958.6"
"3 Black","22","Mamié
Léon","1546","22","2’934.2"
"3 Black","23","Honegger
Marco","1858","23","2’793.4"
"3 Black","24","Peter
Philipp","1279","24","2’756.6"
"3 Black","25","Spring
Lukas","426","25","2’751.8"
"3 Black","26","Burnand
Julien","1724","26","2’739.1"
"3 Black","27","Schmid
Jörg","1346","27","2’563.4"
"3 Black","28","Imhof
Stefan","807","28","2’557.3"
"3 Black","29","Wegmann
Thomas","494","29","2’541.5"
"3 Black","30","Honegger
Simon","711","30","2’457.1"
"2 Black","31","Mamié
Noah","1358","31","2’443.8"
"2 Black","32","Batinic
Danijel","569","32","2’412.5"
"2 Black","33","Huber
Olaf","203","33","2’381.0"
"2 Black","34","Ladner
Beat","252","34","2’330.9"
"2 Black","35","Guerra
Batiste","2027","35","2’249.0"
"2 Black","36","Ladner
Leonard","520","36","2’183.0"
"2 Black","37","Fässler
Marcel","107","37","2’105.0"
"2 Black","38","Schärrer
Niki","383","38","1’985.1"
"2 Black","39","Waldis
Adrian","489","39","1’963.9"
"2 Black","40","Meierhans
Sascha","746","40","1’959.3"
"2 Black","41","Graf
Arno","145","41","1’949.5"
"2 Black","42","Kaufmann
Andreas","1688","42","1’927.0"
"2 Black","43","Bieler
André","1598","44","1’871.4"
"2 Black","44","Lori
Marco","876","45","1’863.3"
"2 Black","45","Bürgi
Patrick","64","46","1’769.9"
"2 Black","46","Faschauner
Stefan","1711","47","1’739.0"
"2 Black","47","König
Dominic","577","48","1’736.9"
"2 Black","48","Galan
Aymeric","1804","49","1’705.1"
