Rackets,Rank,Name,ID,Prev,Points
"4 Black","1","Gränicher
Benjamin","627","1","8’361.6"
"4 Black","2","Casanova-Lorenz
Patrick","1087","2","7’026.5"
"4 Black","3","Schäfer
Christian","381","3","6’508.7"
"4 Black","4","Bühler
Oliver","1107","4","5’386.1"
"4 Black","5","Lenggenhager
Nicolas","1175","5","5’319.7"
"4 Black","6","Hobi
Nico","194","6","5’277.7"
"4 Black","7","Strässle
Michael","821","7","5’097.6"
"4 Black","8","Junillon
Cédric","222","8","4’854.0"
"4 Black","9","Paglia
Raphael","341","9","4’705.9"
"4 Black","10","Andrey
Yannic","857","10","4’681.2"
"3 Black","11","Bandi
André","18","11","4’663.5"
"3 Black","12","Ekstrand
Magnus","97","12","4’086.3"
"3 Black","13","Hohl
Cyril","1678","13","3’770.3"
"3 Black","14","Spring
Lukas","426","14","3’498.8"
"3 Black","15","Häfliger
Philipp","165","15","3’417.5"
"3 Black","16","Bühler
Steven","1320","16","3’407.1"
"3 Black","17","Näscher
Claude","324","17","3’377.9"
"3 Black","18","Kälin
Erich","224","18","3’277.8"
"3 Black","19","Meister
Julien","1307","19","3’260.7"
"3 Black","20","Schmid
Roland","781","20","3’260.0"
"3 Black","21","Nicolet
Vincent","1738","21","3’227.5"
"3 Black","22","Burnand
Julien","1724","22","3’039.3"
"3 Black","23","Huber
Olaf","203","23","2’857.1"
"3 Black","24","Mamié
Léon","1546","24","2’821.3"
"3 Black","25","Honegger
Marco","1858","25","2’813.5"
"3 Black","26","Peter
Philipp","1279","26","2’756.6"
"3 Black","27","Langhart
Roli","854","27","2’707.3"
"3 Black","28","Wegmann
Thomas","494","28","2’691.1"
"3 Black","29","Mamié
Noah","1358","29","2’619.0"
"3 Black","30","Schmid
Jörg","1346","30","2’563.4"
"2 Black","31","Imhof
Stefan","807","31","2’557.3"
"2 Black","32","Batinic
Danijel","569","32","2’392.4"
"2 Black","33","Ladner
Beat","252","33","2’340.9"
"2 Black","34","Honegger
Simon","711","34","2’306.1"
"2 Black","35","Fässler
Marcel","107","35","2’305.3"
"2 Black","36","Guerra
Batiste","2027","36","2’301.4"
"2 Black","37","Ladner
Leonard","520","37","2’212.0"
"2 Black","38","Schärrer
Niki","383","38","2’123.7"
"2 Black","39","Bieler
André","1598","39","1’991.7"
"2 Black","40","Waldis
Adrian","489","40","1’987.8"
"2 Black","41","Meierhans
Sascha","746","41","1’959.3"
"2 Black","42","Graf
Arno","145","42","1’949.5"
"2 Black","43","Lori
Marco","876","44","1’863.3"
"2 Black","44","Galan
Aymeric","1804","45","1’820.6"
"2 Black","45","Kolp
Michael","542","46","1’775.7"
"2 Black","46","Bürgi
Patrick","64","47","1’758.6"
"2 Black","47","Furter
Markus","679","48","1’757.9"
"2 Black","48","König
Dominic","577","49","1’736.9"
